feat_name,omics,imp
ENSG00000117266.11,0,245.1722039121324
cg07232688,1,224.21400346760552
cg22518733,1,219.16448707462834
cg27091787,1,168.93141911396847
cg25736482,1,163.30561385904838
hsa-miR-517c_hsa-miR-519a,2,161.52416732483113
cg14387505,1,158.17253131796667
cg12447832,1,156.1326000973225
ENSG00000155980.6,0,154.23065474402202
ENSG00000105643.3,0,147.50506084524056
cg08418111,1,137.49890788737443
cg02008416,1,136.78042739020972
ENSG00000204219.5,0,135.82983297125654
cg06946880,1,134.69874415456152
ENSG00000182310.7,0,130.42908297917506
cg10157098,1,128.642232306216
cg24765079,1,128.38469380376006
hsa-miR-424,2,126.84326060898692
hsa-miR-216a,2,124.38731421303737
ENSG00000168743.8,0,122.162450086207
hsa-miR-651,2,121.69908119535603
cg04983977,1,119.13228477501688
cg14847483,1,118.16695692357295
hsa-miR-127-3p,2,114.07641654403558
ENSG00000071054.10,0,112.06469245860609
hsa-miR-640,2,111.80412334347807
ENSG00000102032.8,0,98.90609089917687
ENSG00000166682.6,0,95.99720557857773
hsa-miR-199b-5p,2,94.25095433546446
hsa-miR-199a-5p,2,94.22646117742121
